Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_020,oo1,5,3691,80,long,305.117540965621,1979.18155746631,3085.01756296232
SW_020,oo1,7,3693,65,long,365.152087080581,2175.52139811917,3156.17026946031
SW_020,oo1,7,3693,80,long,357.445575253317,2333.0379635001,3443.92426880464
SW_020,oo1,8,3694,20,long,376.494881246908,2355.21356848337,3720.17245373738
SW_020,oo1,8,3694,80,long,321.668231689073,1929.65492251197,3187.15257930848
SW_020,oo1,9,3695,80,long,315.4729340064,1758.71865244264,3063.09930729086
SW_020,{:,8,3775,80,long,535.498161379127,1812.28629020407,2640.67378557516
SW_020,oa1,1,3788,35,long,446.423599378836,2641.45110263939,3710.82489293092
SW_020,oa1,1,3788,50,long,490.129799480406,1962.1935448306,2634.44920114659
SW_020,oa1,1,3788,65,long,539.085038796864,1429.53982181955,3078.29057255474
SW_020,oa1,3,3790,65,long,525.861839706089,1588.64672687391,3126.59005648022
SW_021,oo1,2,3911,50,long,490.026820927655,3028.6510223367,3804.82129518938
SW_021,oa1,2,4012,50,long,465.181008338994,1958.41158922408,3205.2898312665
SW_021,oa1,4,4014,35,long,454.292406514723,1635.71874912883,3415.40032735443
SW_021,oa1,4,4014,50,long,425.678562398008,1910.72038316432,3401.54202215273
SW_021,oa1,5,4015,35,long,483.91835385101,1775.2832052576,3624.92464290691
SW_021,oa1,5,4015,50,long,458.905128164267,1419.47239512195,3151.18577001438
SW_021,oa1,8,4018,35,long,483.764342474137,1603.11076238834,3234.6870456008
SW_022,oo1,4,4134,65,long,477.233644732489,1484.33810379288,2908.16050588495
SW_022,oo1,6,4136,65,long,429.942738028427,1775.99543694821,3230.99871613114
SW_022,{:,2,4212,80,long,480.646651468754,1569.99803171248,2857.07795817698
SW_022,{:,3,4213,80,long,458.992693631845,1529.19902079579,3025.87326099128
SW_022,{:,5,4215,50,long,557.0660554,1365.59547,2949.94483980315
SW_022,{:,6,4216,80,long,536.649036050647,1519.62354425574,2798.4324637683
SW_022,{:,7,4217,80,long,518.081498014129,1558.58603240051,3019.53628462027
SW_022,oa1,1,4231,50,long,503.090948155933,2843.07312202097,4368.82952784284
SW_022,oa1,4,4234,35,long,426.491920859632,1804.36153186655,3130.25804479082
SW_022,oa1,4,4234,50,long,439.371630380088,2906.59814164492,4225.62721153527
SW_022,oa1,7,4237,35,long,522.441143877955,2889.41348387361,4237.60514661651
SW_022,oa1,7,4237,50,long,538.322089659299,2559.68453923188,3933.10801180969
SW_022,oa1,9,4239,50,long,445.27270863744,2236.2102875516,3135.91380930024
SW_023,oa1,10,4458,80,long,533.560764096481,1400.78400588379,3167.98864068214
SW_024,oa1,1,4671,20,long,481.051292408244,2575.89161732756,3177.94995337576
