Talker,Vowel,Token,Trial,Location,Quantity,F1,F2,F3
SW_034,oo1,2,2042,20,long,463.627192336359,647.804566470001,2531.63475210335
SW_034,oo1,3,2043,20,long,465.769334722892,608.006039435223,2633.36148079701
SW_034,oo1,5,2045,20,long,463.385064333427,738.249943344123,2408.27538093015
SW_034,oo1,5,2045,35,long,468.496150145932,537.947106394013,2616.6125930054
SW_034,oo1,6,2046,35,long,451.123227340299,762,2365.81917924102
SW_034,oo1,7,2047,35,long,485.500128476982,535.91531175134,2824.47184878037
SW_036,oo1,8,2488,20,long,502,859.941427679383,2541.30301187529
SW_036,oh1,1,2491,35,short,498.62795212444,802.691105834752,2746.26431214325
SW_036,oh1,2,2492,20,short,558,767.999738118859,2725.36782271678
SW_036,oh1,2,2492,35,short,464.512088273086,792.317381196737,2770.46993807911
SW_036,oh1,4,2494,20,short,473.975389507642,817.875749887745,2703.33299475829
SW_036,oh1,4,2494,35,short,452.557808373709,775.003332791796,2732.18752247268
SW_036,oh1,5,2495,35,short,486.188120203264,762.705313473328,2775.79840063057
SW_036,oh1,6,2496,20,short,482.009130822891,791.494232140003,2748.81141229218
SW_036,oh1,6,2496,35,short,511.017421119168,776.060926370926,2775.37268923493
SW_036,oh1,8,2498,20,short,489.182172729409,788.863047524918,2707.03204219824
SW_036,oh1,8,2498,35,short,457.361322344646,768.90687328878,2826.31285735919
SW_036,oa1,6,2586,35,long,448.403304669273,1904.02487449816,3078.24145458005
SW_037,oo1,1,2701,65,long,365.942565109576,1812.64214417804,2892.21391301308
SW_037,oo1,2,2702,50,long,381.95552378403,2074.20496679135,3102.75559429692
SW_037,oo1,2,2702,65,long,415.452542428902,2143.55998215362,3328.63818799713
SW_037,oo1,2,2702,80,long,396.917148798181,1266.78558734214,2865.43593528426
SW_037,oo1,3,2703,50,long,372.873753740837,1954.87949926429,2980.52151664241
SW_037,oo1,3,2703,65,long,382.023970280486,1480.76963148578,2752.30902235591
SW_037,oo1,4,2704,65,long,180.941089722728,1419.75253869329,2754.82363171996
SW_037,oo1,5,2705,35,long,504.043221639249,1283.63450359137,3118.71975723017
SW_037,oo1,5,2705,50,long,479.641053511863,1735.0670546436,3201.97335942919
SW_037,oo1,6,2706,65,long,464.818544119652,1727.19377766175,2984.15082588378
SW_037,oo1,6,2706,80,long,425.298738962979,1414.3031725499,2508.5369711782
SW_037,oo1,7,2707,65,long,238.67741314243,1472.07071886705,2636.22370746932
SW_037,oo1,7,2707,80,long,405.162906704357,1462.87812648657,2942.66926873603
SW_037,oo1,8,2708,50,long,269.405539725394,1452.90921277218,3082.13706838144
